name,overall_accuracy,overall_balanced_accuracy,overall_f1_score,overall_precision,overall_recall,pt1_accuracy,pt1_balanced_accuracy,pt1_f1_score,pt1_precision,pt1_recall,pt2_accuracy,pt2_balanced_accuracy,pt2_f1_score,pt2_precision,pt2_recall,pt3_accuracy,pt3_balanced_accuracy,pt3_f1_score,pt3_precision,pt3_recall,pt4_accuracy,pt4_balanced_accuracy,pt4_f1_score,pt4_precision,pt4_recall,pt5_accuracy,pt5_balanced_accuracy,pt5_f1_score,pt5_precision,pt5_recall,pt6_accuracy,pt6_balanced_accuracy,pt6_f1_score,pt6_precision,pt6_recall
LogisticRegression,0.8877777777777778,0.8705109115071169,0.9137489325362937,0.8946488294314381,0.9336823734729494,0.7766666666666666,0.7525714285714286,0.8241469816272966,0.7621359223300971,0.8971428571428571,0.9,0.8906454672749446,0.9157303370786516,0.8716577540106952,0.9644970414201184,0.9,0.8834336226636136,0.9285714285714285,0.9330143540669856,0.9241706161137441,0.9066666666666666,0.8302190074341973,0.9421487603305785,0.9230769230769231,0.9620253164556962,0.92,0.9248480383127647,0.9302325581395349,0.963855421686747,0.898876404494382,0.9233333333333333,0.9179802052785924,0.9355742296918768,0.9226519337016574,0.9488636363636364
LinearRegression,0.8683333333333333,0.8493323406503674,0.8988476312419974,0.8796992481203008,0.918848167539267,0.81,0.8051428571428572,0.8366762177650429,0.8390804597701149,0.8342857142857143,0.9466666666666667,0.9432223677672884,0.9534883720930233,0.9371428571428572,0.9704142011834319,0.8766666666666667,0.8603493263752063,0.9112709832134294,0.9223300970873787,0.9004739336492891,0.9133333333333333,0.8635724331926864,0.9453781512605042,0.9414225941422594,0.9493670886075949,0.81,0.7805765334315712,0.8542199488491049,0.784037558685446,0.9382022471910112,0.8533333333333334,0.8404508797653959,0.8797814207650274,0.8473684210526315,0.9147727272727273
MultinomialNB,0.6661111111111111,0.6662303664921465,0.7174424071462154,0.7777777777777778,0.6657940663176265,0.63,0.6097142857142857,0.6975476839237057,0.6666666666666666,0.7314285714285714,0.61,0.6178011653642892,0.6163934426229508,0.6911764705882353,0.5562130177514792,0.69,0.756882688109058,0.728862973760933,0.946969696969697,0.5924170616113744,0.6,0.548724131002612,0.7156398104265401,0.8162162162162162,0.6371308016877637,0.9066666666666666,0.9200589427150487,0.9151515151515152,0.993421052631579,0.848314606741573,0.56,0.5416055718475073,0.6333333333333333,0.6195652173913043,0.6477272727272727
GaussianNB,0.8783333333333333,0.8939470355604656,0.8975198876930276,0.9677093844601413,0.8368237347294939,0.7966666666666666,0.8062857142857143,0.8111455108359132,0.8851351351351351,0.7485714285714286,0.9066666666666666,0.9120104792447716,0.9130434782608696,0.9607843137254902,0.8698224852071006,0.8666666666666667,0.888971723733958,0.8979591836734694,0.9723756906077348,0.8341232227488151,0.88,0.9240506329113924,0.9178082191780821,1.0,0.8481012658227848,0.9233333333333333,0.9328145146435808,0.9317507418397627,0.9874213836477987,0.8820224719101124,0.8966666666666666,0.9095491202346041,0.9046153846153847,0.9865771812080537,0.8352272727272727
KNeighborsClassifier,0.7427777777777778,0.7051051123172742,0.8066805845511482,0.7734187349879904,0.8429319371727748,0.7866666666666666,0.7851428571428571,0.8128654970760234,0.8323353293413174,0.7942857142857143,0.6066666666666667,0.5890961651384434,0.6758241758241759,0.6307692307692307,0.727810650887574,0.7533333333333333,0.7077054156238352,0.8238095238095238,0.8277511961722488,0.8199052132701422,0.7933333333333333,0.5487241310026121,0.8812260536398467,0.8070175438596491,0.9704641350210971,0.9066666666666666,0.9187695708233561,0.9156626506024096,0.987012987012987,0.8539325842696629,0.61,0.5603922287390029,0.7180722891566265,0.6234309623430963,0.8465909090909091
KNeighborsRegressor,0.7466666666666667,0.673695502505724,0.8254211332312403,0.7353342428376535,0.9406631762652705,0.78,0.7702857142857142,0.8146067415730337,0.8011049723756906,0.8285714285714286,0.62,0.5700347802520439,0.740909090909091,0.6014760147601476,0.9644970414201184,0.7866666666666666,0.6631876031737579,0.864406779661017,0.7816091954022989,0.966824644549763,0.7966666666666666,0.5508338356439622,0.8833652007648184,0.8076923076923077,0.9746835443037974,0.86,0.8497881746177933,0.8846153846153846,0.8655913978494624,0.9044943820224719,0.6366666666666667,0.562866568914956,0.7614879649890591,0.6192170818505338,0.9886363636363636
DecisionTreeClassifier,0.9777777777777777,0.9740141217157404,0.9826388888888888,0.9775474956822107,0.987783595113438,0.9966666666666667,0.996,0.9971509971509972,0.9943181818181818,1.0,0.93,0.9284294683590044,0.9380530973451328,0.9352941176470588,0.9408284023668639,0.9833333333333333,0.9719101123595506,0.9882903981264637,0.9768518518518519,1.0,0.9833333333333333,0.9836246734980911,0.9893842887473461,0.9957264957264957,0.9831223628691983,0.9966666666666667,0.9959016393442623,0.9971988795518207,0.994413407821229,1.0,0.9766666666666667,0.9717741935483871,0.9805013927576601,0.9617486338797814,1.0
DecisionTreeRegressor,0.9827777777777778,0.9785972749251485,0.9865742745777393,0.9793637145313844,0.993891797556719,0.9966666666666667,0.996,0.9971509971509972,0.9943181818181818,1.0,0.96,0.9567731153168617,0.9651162790697676,0.9485714285714286,0.9822485207100592,0.9833333333333333,0.9719101123595506,0.9882903981264637,0.9768518518518519,1.0,0.9833333333333333,0.9836246734980911,0.9893842887473461,0.9957264957264957,0.9831223628691983,0.9966666666666667,0.9959016393442623,0.9971988795518207,0.994413407821229,1.0,0.9766666666666667,0.9717741935483871,0.9805013927576601,0.9617486338797814,1.0
RandomForestClassifier,0.985,0.9816553789006837,0.988286334056399,0.9827437446074202,0.993891797556719,1.0,1.0,1.0,1.0,1.0,0.9533333333333334,0.9499977415420751,0.9593023255813953,0.9428571428571428,0.9763313609467456,0.9866666666666667,0.9807763991692848,0.9905660377358492,0.9859154929577465,0.995260663507109,0.99,0.9820172794856339,0.9936842105263158,0.9915966386554622,0.9957805907172996,1.0,1.0,1.0,1.0,1.0,0.98,0.9769978005865103,0.9831460674157303,0.9722222222222222,0.9943181818181818
RandomForestRegressor,0.9794444444444445,0.9723689898650272,0.9840860215053764,0.9703138252756573,0.9982547993019197,0.9966666666666667,0.996,0.9971509971509972,0.9943181818181818,1.0,0.9333333333333333,0.9253805501603505,0.9435028248587571,0.9027027027027027,0.9881656804733728,0.98,0.9662921348314606,0.985981308411215,0.9723502304147466,1.0,0.9933333333333333,0.9841269841269842,0.995798319327731,0.9916317991631799,1.0,0.9966666666666667,0.9959016393442623,0.9971988795518207,0.994413407821229,1.0,0.9766666666666667,0.9717741935483871,0.9805013927576601,0.9617486338797814,1.0
